Timestamp,Wecd_R,Timestamp,Wecd_L
42130785,14.7349,42130785,24.5563
42145996,16.5044,42145996,25.0918
42161174,17.3777,42161174,26.4758
42170011,17.4463,42170011,29.218
42192537,16.0584,42192537,30.0647
42207468,14.9234,42207468,31.403
42226631,14.195,42226631,27.6286
42256641,16.164,42256641,25.5662
42264410,16.0898,42264410,26.6066
42285661,18.6822,42285661,26.7853
42301314,16.1269,42301314,25.2717
42319104,19.3947,42319104,22.6411
42348441,17.6913,42348441,24.0146
42364637,16.4307,42364637,25.0948
42380381,18.4418,42380381,27.2428
42396932,16.7798,42396932,29.3043
42411049,17.1788,42411049,25.899
42432399,16.3945,42432399,29.0844
42459411,17.3219,42459411,27.6488
42495247,15.9293,42495247,26.1302
42510133,16.2641,42510133,25.9384
42540148,17.9061,42540148,25.215
42556240,16.858,42556240,27.2811
42571708,15.2484,42571708,25.7183
42591721,13.6784,42591721,27.0611
42618477,18.6243,42618477,27.5323
42634601,14.8694,42634601,27.0986
42649561,17.1689,42649561,29.2644
42665009,13.7497,42665009,25.5593
42683968,16.6874,42683968,27.9779
42697968,13.1271,42697968,26.9588
42713599,12.2894,42713599,28.5637
42733659,13.3424,42733659,26.4482
42761708,14.901,42761708,25.1866
42777541,12.2902,42777541,24.5374
42793107,14.1901,42793107,23.6597
42809388,13.5484,42809388,25.3114
42824504,13.7966,42824504,24.8144
42843525,12.9916,42843525,25.6641
42876162,14.7186,42876162,26.4187
42904747,13.6508,42904747,26.5439
42920313,15.5985,42920313,28.5312
42942660,15.6649,42942660,27.1174
42966901,13.65,42966901,27.4938
42985244,16.6807,42985244,27.7669
43000097,13.8955,43000097,27.3207
43014549,12.5783,43014549,26.1672
43037573,16.9587,43037573,29.9223
43063759,13.4773,43063759,31.2668
43079065,15.6052,43079065,29.7729
43095859,17.1005,43095859,28.6283
43128055,14.5403,43128055,24.3516
43157673,15.1164,43157673,24.6351
43173333,14.5028,43173333,27.0891
43187746,16.5719,43187746,24.8711
43204737,18.3637,43204737,25.1882
43239073,17.9772,43239073,21.5899
43269236,15.498,43269236,23.6176
43283651,18.0858,43283651,23.0777
43299440,16.6929,43299440,23.1507
43306009,17.9064,43306009,23.0945
43330223,18.0485,43330223,24.0508
43348285,18.7958,43348285,22.7871
43376290,17.4527,43376290,22.4487
43395024,19.0528,43395024,28.0402
43425047,18.0453,43425047,26.3866
43440529,20.7032,43440529,22.7769
43457085,18.4413,43457085,25.2976
43472762,19.1223,43472762,25.082
43490141,19.3882,43490141,24.425
43503701,21.053,43503701,21.1511
43519684,20.4826,43519684,24.1866
43535686,18.0864,43535686,27.9018
43551394,21.7108,43551394,28.1943
43566101,17.3214,43566101,23.2461
43582729,18.3969,43582729,25.8849
43596077,21.7006,43596077,25.5804
43613880,18.2852,43613880,25.6782
43631592,19.1375,43631592,22.8173
43660620,18.3317,43660620,23.2943
43677598,18.2522,43677598,23.5055
43693600,17.8475,43693600,28.5194
43709110,19.6504,43709110,28.2862
43724276,17.4141,43724276,26.5008
43741502,19.6841,43741502,26.4538
43755105,19.1883,43755105,24.6902
43771185,17.242,43771185,26.5246
43786217,20.7388,43786217,22.9728
43803910,16.8327,43803910,23.2522
43819162,16.5669,43819162,22.626
43833173,18.65,43833173,23.6465
43852104,15.5852,43852104,23.0621
43884692,17.2779,43884692,24.8413
43913088,19.337,43913088,24.0413
43929259,15.4996,43929259,19.5101
43944439,17.9499,43944439,25.5055
43959621,19.7115,43959621,25.999
43976614,17.6975,43976614,20.5766
43992689,17.25,43992689,25.1796
44008245,20.2407,44008245,19.7942
44023138,18.8175,44023138,22.8653
44040150,17.4526,44040150,27.0705
44055159,20.7966,44055159,23.985
44070661,19.0577,44070661,22.2509
44087684,17.84,44087684,25.2238
44102378,21.2725,44102378,25.1168
44119274,19.7452,44119274,21.6262
44137421,19.5196,44137421,24.3655
44151768,17.4957,44151768,26.1074
44169794,19.4023,44169794,26.5549
44196818,17.6997,44196818,25.5132
44214384,22.0835,44214384,24.1409
44230330,20.3445,44230330,29.7755
44252213,22.0392,44252213,26.5275
44276839,18.086,44276839,27.0623
44297787,18.6664,44297787,26.4835
44325968,18.3269,44325968,24.3052
44342011,17.8113,44342011,24.2888
44358176,17.8193,44358176,23.1212
44374025,19.6761,44374025,24.4938
44391907,20.3437,44391907,29.855
44421740,16.8213,44421740,29.7404
44437449,14.9103,44437449,28.9677
44453414,15.787,44453414,26.4027
44467922,16.2103,44467922,24.4822
44484906,17.6486,44484906,26.9377
44500942,15.6656,44500942,25.1356
44515679,17.0746,44515679,27.8993
44532248,15.7088,44532248,26.3156
44550186,15.2262,44550186,23.075
44579808,14.6772,44579808,24.2116
44594852,13.7136,44594852,27.3167
44609182,14.1975,44609182,28.8581
44626402,16.4594,44626402,24.6148
44644072,16.586,44644072,30.4085
44673716,13.927,44673716,29.254
44690200,16.8522,44690200,29.3695
44704607,15.8789,44704607,25.9092
44721173,15.9473,44721173,26.732
44736124,15.456,44736124,25.2249
44750466,15.6415,44750466,26.4329
44767052,16.3268,44767052,25.7176
44783980,12.8814,44783980,25.7587
44802723,14.1904,44802723,28.7452
44834667,18.4876,44834667,27.234
44846561,14.8693,44846561,26.4877
44861470,18.54,44861470,26.6483
44878868,15.2852,44878868,28.5138
44895883,17.6607,44895883,24.1845
44931313,18.5665,44931313,28.2907
44956635,16.8272,44956635,28.0085
44970972,17.144,44970972,29.5358
44987538,18.3776,44987538,29.6356
45006054,19.55,45006054,29.5672
45037670,17.5969,45037670,27.4858
45054052,19.7115,45054052,24.8748
45083933,18.1917,45083933,24.5976
45097568,16.1672,45097568,24.8987
45115142,19.8532,45115142,25.9896
45129165,18.1109,45129165,25.5746
45147303,17.8088,45147303,26.9136
45177305,16.2948,45177305,27.6709
45193035,19.3357,45193035,24.1247
45207236,15.7127,45207236,24.9188
45224216,15.8806,45224216,25.0025
45255326,15.4609,45255326,24.0149
45270766,16.0538,45270766,27.5002
45301399,16.273,45301399,31.3362
45315261,15.2882,45315261,29.2235
45331838,16.043,45331838,29.6715
45348293,14.2341,45348293,26.701
45366311,15.3608,45366311,31.2328
45397249,15.394,45397249,30.5225
45426432,14.8374,45426432,31.9432
45440833,17.2278,45440833,30.3739
45457250,16.2985,45457250,28.1719
45471314,16.2092,45471314,27.8462
45487665,15.6767,45487665,30.7789
45507935,16.2732,45507935,24.5974
45534574,13.1332,45534574,27.6265
45547875,15.5824,45547875,26.7056
45565750,13.6836,45565750,28.0537
45580733,17.8598,45580733,27.0713
45599179,13.9222,45599179,24.6727
45613588,17.4431,45613588,22.7363
45629368,14.8757,45629368,24.864
45644576,17.0675,45644576,25.7005
45659760,15.6969,45659760,29.5008
45674952,16.4203,45674952,29.6001
45689805,16.1274,45689805,30.0965
45707025,13.9461,45707025,25.1989
45721335,16.7444,45721335,24.8061
45738843,15.9487,45738843,29.0486
45757473,15.3246,45757473,26.3981
45786448,18.58,45786448,26.8154
45802424,15.8822,45802424,27.9957
45816410,16.301,45816410,24.2959
45832429,19.2986,45832429,25.1489
45851196,16.222,45851196,24.163
45880760,19.3257,45880760,24.0093
45896676,18.0427,45896676,29.7119
45913286,15.8763,45913286,27.3387
45929198,20.1672,45929198,30.3646
45945225,18.2396,45945225,28.36
45975735,18.1855,45975735,25.4815
45992086,20.9257,45992086,25.5136
46000557,18.8905,46000557,24.6901
46022173,17.9032,46022173,26.7847
46038170,16.3344,46038170,28.3081
46052234,19.2284,46052234,26.7817
46069689,16.8206,46069689,26.1797
46083636,17.7709,46083636,23.967
46099702,16.5779,46099702,25.5223
46105179,15.3229,46105179,23.5022
46131166,15.9221,46131166,29.7148
46161767,17.31,46161767,28.7018
46178481,15.0797,46178481,26.8119
46193690,14.4948,46193690,28.8033
46212182,13.3377,46212182,24.6331
46241214,17.4132,46241214,26.9907
46259304,17.4867,46259304,27.4161
46287741,13.2623,46287741,28.1502
46303691,17.9359,46303691,28.5899
46320398,13.5088,46320398,26.4783
46336267,16.3834,46336267,28.6754
46352550,12.8758,46352550,25.7526
46368067,16.654,46368067,27.9105
46384354,13.5146,46384354,26.4178
46398931,15.5658,46398931,27.3437
46415532,14.1838,46415532,26.3935
46430440,15.1466,46430440,25.7142
46448090,12.4271,46448090,31.2097
46459780,14.6654,46459780,25.8404
46478310,11.5136,46478310,24.4818
46493410,15.3202,46493410,26.8918
46513819,12.9902,46513819,25.2156
46541783,12.6995,46541783,25.5224
46557421,13.2264,46557421,27.9604
46573467,14.6637,46573467,24.8883
46589667,16.2569,46589667,27.1441
46605068,14.4561,46605068,28.762
46623285,16.4202,46623285,29.5326
46655814,18.2216,46655814,29.0713
46685431,17.0205,46685431,24.8818
46701049,17.9879,46701049,24.4579
46715084,17.4872,46715084,25.3298
46733039,16.306,46733039,26.3018
46748044,20.3515,46748044,26.7891
46764600,19.693,46764600,23.7405
46794716,19.7744,46794716,22.9724
46811103,18.4983,46811103,22.0974
46830144,20.1306,46830144,22.7623
46861540,19.373,46861540,27.8166
46890722,17.7033,46890722,25.261
46919875,20.5935,46919875,24.6549
46935773,17.6618,46935773,25.9625
46954098,19.3995,46954098,26.6804
46982545,18.3373,46982545,23.7351
46998783,18.2575,46998783,24.2838
47016279,19.6511,47016279,27.0703
47046499,15.846,47046499,27.7637
47061637,20.1782,47061637,28.7876
47078522,17.8922,47078522,25.2652
47093646,15.7593,47093646,23.9961
47109408,19.0783,47109408,24.7585
47125129,15.7834,47125129,24.8641
47143364,17.0346,47143364,24.2516
47172456,15.4728,47172456,23.6487
47188565,18.257,47188565,22.5859
47204971,15.8852,47204971,27.9357
47218653,18.1851,47218653,27.4471
47235294,15.2373,47235294,23.0982
47250664,15.9525,47250664,23.8253
47269811,17.2781,47269811,20.4422
47297573,17.7973,47297573,19.0647
47313386,16.6503,47313386,26.4605
47329975,16.2736,47329975,21.721
47345304,18.0736,47345304,23.0993
47359925,17.4772,47359925,22.5198
47377479,16.2856,47377479,21.2294
47392971,19.4612,47392971,26.9234
