Timestamp,dm_motor[0].measure.angle_delta,Timestamp,dm_motor[1].measure.angle_delta,Timestamp,dm_motor[2].measure.angle_delta,Timestamp,dm_motor[3].measure.angle_delta,
10114255,0,10114255,0.0210929,10114255,0.0193672,10114255,0,
10154676,0,10154676,0.00651932,10154676,0.0362411,10154676,0,
10202192,0,10202192,0.0224347,10202192,0.0308719,10202192,0,
10259857,0,10259857,0.0170655,10259857,0.011313,10259857,0,
10328148,0,10328148,0.00479364,10328148,0,10328148,0,
10382226,0,10382226,0,10382226,0,10382226,0,
10445721,0,10445721,0,10445721,0,10445721,0,
10501761,0,10501761,0,10501761,0,10501761,0,
10567918,0,10567918,0,10567918,0,10567918,0,
10615306,0,10615306,0,10615306,-0.00210953,10615306,0,
10669228,0,10669228,-0.00977945,10669228,-0.00671101,10669228,0,
10737162,0,10737162,-0.00766993,10737162,-0.00766993,10737162,0,
10793569,0,10793569,-0.00690269,10793569,-0.00862885,10793569,0,
10854204,0,10854204,-0.00843668,10854204,-0.00786161,10854204,0,
10913679,0,10913679,-0.00862885,10913679,-0.00651979,10913679,0,
10960935,0,10960935,-0.00651932,10960935,-0.00613594,10960935,0,
11007557,0,11007557,-0.00824547,11007557,-0.00651932,11007557,0,
11055049,0,11055049,-0.00651932,11055049,-0.00766993,11055049,0,
11127781,0,11127781,-0.00421858,11127781,-0.00671148,11127781,0,
11185677,0,11185677,-0.00153399,11185677,-0.00517702,11185677,0,
11245352,0,11245352,0,11245352,0.000191689,11245352,0,
11302886,0,11302886,0,11302886,0,11302886,0,
11370774,0,11370774,0,11370774,0.000191689,11370774,0,
11424900,0,11424900,0,11424900,0,11424900,0,
11489435,0,11489435,0,11489435,0,11489435,0,
11570704,0,11570704,0,11570704,0,11570704,0,
11629989,0,11629989,0,11629989,0,11629989,0,
11687522,0,11687522,0,11687522,0,11687522,0,
11761603,0,11761603,0,11761603,0,11761603,0,
11819684,0,11819684,0,11819684,0,11819684,0,
11885726,0,11885726,0,11885726,0,11885726,0,
11955490,0,11955490,0,11955490,0,11955490,0,
12008100,0,12008100,0,12008100,0,12008100,0,
12073259,0,12073259,0,12073259,0,12073259,0,
12136670,0,12136670,0,12136670,0,12136670,0,
12197281,0,12197281,0,12197281,0,12197281,0,
12247335,0,12247335,0,12247335,0,12247335,0,
12302564,0,12302564,0,12302564,0,12302564,0,
12347446,0,12347446,0,12347446,0,12347446,0,
12397729,0,12397729,0,12397729,0,12397729,0,
12442311,0,12442311,0,12442311,0,12442311,0,
12491480,0,12491480,0,12491480,0,12491480,0,
12539975,0,12539975,0,12539975,0,12539975,0,
12591632,0,12591632,0,12591632,0,12591632,0,
12640042,0,12640042,0,12640042,0,12640042,0,
12693365,0,12693365,0,12693365,0,12693365,0,
12752658,0,12752658,0,12752658,0,12752658,0,
12811712,0,12811712,0,12811712,0,12811712,0,
12850225,0,12850225,0,12850225,0,12850225,0,
12912742,0,12912742,0,12912742,0,12912742,0,
12963559,0,12963559,0,12963559,0,12963559,0,
13017720,0,13017720,0,13017720,0,13017720,0,
13060056,0,13060056,0,13060056,0,13060056,0,
13100636,0,13100636,0,13100636,0,13100636,0,
13153045,0,13153045,0,13153045,0,13153045,0,
13195466,0,13195466,0,13195466,0,13195466,0,
13250028,0,13250028,0,13250028,0,13250028,0,
13293777,0,13293777,0,13293777,0,13293777,0,
13341948,0,13341948,0,13341948,0,13341948,0,
13388406,0,13388406,0,13388406,0,13388406,0,
13435801,0,13435801,0,13435801,0,13435801,0,
13488738,0,13488738,0,13488738,0,13488738,0,
13532598,0,13532598,0,13532598,0,13532598,0,
13579720,0,13579720,0,13579720,0,13579720,0,
13624144,0,13624144,0,13624144,0,13624144,0,
13665899,0,13665899,0,13665899,0,13665899,0,
13713474,0,13713474,0,13713474,0,13713474,0,
13768202,0,13768202,0,13768202,0,13768202,0,
13815866,0,13815866,0,13815866,0,13815866,0,
13864888,0,13864888,0,13864888,0,13864888,0,
13926817,0,13926817,0,13926817,0,13926817,0,
13974580,0,13974580,0.000191689,13974580,0,13974580,0,
14024035,0,14024035,0,14024035,0,14024035,0,
14069805,0,14069805,0,14069805,0,14069805,0,
14114136,0,14114136,0,14114136,0,14114136,0,
14161706,0,14161706,0,14161706,0,14161706,0,
14209809,0,14209809,0,14209809,0,14209809,0,
14275137,0,14275137,0,14275137,0,14275137,0,
14320500,0,14320500,0,14320500,0,14320500,0,
14371070,0,14371070,0,14371070,0,14371070,0,
14413007,0,14413007,0,14413007,0,14413007,0,
14462367,0,14462367,0,14462367,0,14462367,0,
14513818,0,14513818,0,14513818,0,14513818,0,
14554727,0,14554727,0,14554727,0,14554727,0,
14603323,0,14603323,0,14603323,0,14603323,0,
14652734,0,14652734,0,14652734,0.000191689,14652734,0,
14708478,0,14708478,0,14708478,0,14708478,0,
14764722,0,14764722,0,14764722,0,14764722,0,
14813605,0,14813605,0,14813605,0,14813605,0,
14854896,0,14854896,0,14854896,0,14854896,0,
14912988,0,14912988,0,14912988,0,14912988,0,
14969580,0,14969580,0,14969580,0,14969580,0,
15021140,0,15021140,0,15021140,0.00306797,15021140,0,
15064550,0,15064550,0,15064550,0.0122719,15064550,0,
15113674,0,15113674,0.0161071,15113674,0.0220513,15113674,0,
15191486,0,15191486,0.0297213,15191486,0.0255032,15191486,0,
15239826,0,15239826,0.039309,15239826,0.0279956,15239826,0,
15287369,0,15287369,0.0406508,15287369,0.0400758,15287369,0,
15335976,0,15335976,0.0523477,15335976,0.0479374,15335976,0,
15403449,0,15403449,0.0651946,15403449,0.0661535,15403449,0,
15465161,0,15465161,0.0755491,15465161,0.0767002,15465161,0,
15522516,0,15522516,0.0828362,15522516,0.0828362,15522516,0,
15595189,0,15595189,0.0816851,15595189,0.0828362,15595189,0,
15653002,0,15653002,0.0795774,15653002,0.0797682,15653002,0,
15699324,0,15699324,0.077467,15699324,0.077467,15699324,0,
15747050,0,15747050,0.071331,15747050,0.0730572,15747050,0,
15820204,0,15820204,0.0678797,15820204,0.0688381,15820204,0,
15872044,0,15872044,0.0653877,15872044,0.0674963,15872044,0,
15914017,0,15914017,0.060976,15914017,0.0627022,15914017,0,
15999313,0,15999313,0.0586758,15999313,0.0600176,15999313,0,
16040025,0,16040025,0.0556078,16040025,0.0575247,16040025,0,
16086825,0,16086825,0.0513887,16086825,0.05369,16086825,0,
16192973,0,16192973,0.0487032,16192973,0.0498552,16192973,0,
16270618,0,16270618,0.04813,16270618,0.0494709,16270618,0,
16319905,0,16319905,0.0452528,16319905,0.0458279,16319905,0,
16386699,0,16386699,0.0433359,16386699,0.043334,16386699,0,
16433158,0,16433158,0.0396929,16433158,0.0406513,16433158,0,
16490133,0,16490133,0.0379658,16490133,0.0379677,16490133,0,
16540541,0,16540541,0.0375834,16540541,0.0370073,16540541,0,
16613203,0,16613203,0.0381584,16613203,0.0381594,16613203,0,
16659054,0,16659054,0.0402679,16659054,0.0391169,16659054,0,
16707072,0,16707072,0.0423765,16707072,0.040843,16707072,0,
16758933,0,16758933,0.0477457,16758933,0.0462122,16758933,0,
16839467,0,16839467,0.0508146,16839467,0.0506229,16839467,0,
16876743,0,16876743,0.0561829,16876743,0.0538826,16876743,0,
16933009,0,16933009,0.060976,16933009,0.0613604,16933009,0,
16980361,0,16980361,-12.4958,16980361,0.0680704,16980361,0,
17051596,0,17051596,0.0736322,17051596,0.0740147,17051596,0,
17097071,0,17097071,0.0803432,17097071,0.078618,17097071,0,
17145162,0,17145162,0.0880132,17145162,0.0841789,17145162,0,
17219313,0,17219313,0.0924239,17219313,0.0976019,17219313,0,
17282092,0,17282092,0.094533,17282092,0.103546,17282092,0,
17335383,0,17335383,0.0991354,17335383,0.111982,17335383,0,
17403867,0,17403867,0.103161,17403867,0.114283,17403867,0,
17449868,0,17449868,0.10412,17449868,0.111982,17449868,0,
17497589,0,17497589,0.102586,17497589,0.104695,17497589,0,
17542948,0,17542948,0.100286,17542948,0.0897393,17542948,0,
17618455,0,17618455,0.104121,17618455,0.0807266,17618455,0,
17650746,0,17650746,0.107955,17650746,0.0644283,17650746,0,
17702819,0,17702819,0.0684547,17702819,0.0740156,17702819,0,
17753847,0,17753847,0.0567579,17753847,0.0742073,17753847,0,
17839436,0,17839436,0.0598259,17839436,0.0625107,17839436,0,
17892948,0,17892948,0.0582922,17892948,0.0615518,17892948,0,
17949403,0,17949403,0.057333,17949403,0.0575252,17949403,0,
18034154,0,18034154,0.0584836,18034154,0.0584838,18034154,0,
18095940,0,18095940,0.0581002,18095940,0.0584838,18095940,0,
18146653,0,18146653,0.0571418,18146653,0.0575249,18146653,0,
18194620,0,18194620,0.0584841,18194620,0.0579085,18194620,0,
18277133,0,18277133,0.061552,18277133,0.0617435,18277133,0,
18326115,0,18326115,0.0665374,18326115,0.0674963,18326115,0,
18382868,0,18382868,0.0659623,18382868,0.0722904,18382868,0,
18455346,0,18455346,0.063086,18455346,0.0793848,18455346,0,
18508721,0,18508721,0.0627027,18508721,0.0814939,18508721,0,
18558277,0,18558277,0.0720978,18558277,0.0901227,18558277,0,
18630034,0,18630034,0.0795765,18630034,0.096642,18630034,0,
18681218,0,18681218,0.092999,18681218,0.100478,18681218,0,
18726360,0,18726360,0.10412,18726360,0.106038,18726360,0,
18783568,0,18783568,0.121378,18783568,0.113899,18783568,0,
18851542,0,18851542,0.126172,18851542,0.119653,18851542,0,
18900213,0,18900213,0.131732,18900213,0.120036,18900213,0,
18952812,0,18952812,0.134225,18952812,0.11831,18952812,0,
19001561,0,19001561,0.131349,19001561,0.115434,19001561,0,
19076012,0,19076012,0.128282,19076012,0.110065,19076012,0,
19131905,0,19131905,0.12598,19131905,0.10182,19131905,0,
19190556,0,19190556,0.103162,19190556,0.104695,19190556,0,
19261230,0,19261230,0.0836029,19261230,0.10393,19261230,0,
19320124,0,19320124,0.0954914,19320124,0.098176,19320124,0,
19363489,0,19363489,0.0933828,19363489,0.0956841,19363489,0,
19440625,0,19440625,0.0966415,19440625,0.0964499,19440625,0,
19496280,0,19496280,0.0968342,19496280,0.0974092,19496280,0,
19555803,0,19555803,0.0993271,19555803,0.0999022,19555803,0,
19608137,0,19608137,0.0995178,19608137,0.101244,19608137,0,
19677377,0,19677377,0.0985594,19677377,0.102586,19677377,0,
19728000,0,19728000,0.0976,19728000,0.102395,19728000,0,
19783104,0,19783104,0.0995188,19783104,0.110065,19783104,0,
19861495,0,19861495,0.10182,19861495,0.121378,19861495,0,
19915324,0,19915324,0.103929,19915324,0.126364,19915324,0,
19962833,0,19962833,0.110257,19962833,0.128664,19962833,0,
20018959,0,20018959,0.120802,20018959,0.130007,20018959,0,
20093309,0,20093309,0.125597,20093309,0.127898,20093309,0,
20135173,0,20135173,0.123871,20135173,0.123871,20135173,0,
20188705,0,20188705,0.117159,20188705,0.119269,20188705,0,
20258616,0,20258616,0.112749,20258616,0.107572,20258616,0,
20311541,0,20311541,0.117926,20311541,0.0989432,20311541,0,
20353572,0,20353572,0.122528,20353572,0.0893555,20353572,0,
20407404,0,20407404,0.126555,20407404,0.0837951,20407404,0,
20482462,0,20482462,0.106805,20482462,0.0918484,20482462,0,
20537591,0,20537591,0.0822611,20537591,0.0954916,20537591,0,
20605047,0,20605047,0.0866714,20605047,0.0951083,20605047,0,
20685874,0,20685874,0.089931,20685874,0.0790012,20685874,0,
20719170,0,20719170,0.080152,20719170,0.0841784,20719170,0,
20767959,0,20767959,0.080152,20767959,0.0805349,20767959,0,
20813827,0,20813827,0.0797682,20813827,0.0805352,20813827,0,
20877031,0,20877031,0.0793843,20877031,0.0824528,20877031,0,
20925170,0,20925170,0.0755496,20925170,0.0866714,20925170,0,
20971743,0,20971743,0.076508,20971743,0.092999,20971743,0,
21027187,0,21027187,0.0761247,21027187,0.0989432,21027187,0,
21100622,0,21100622,0.0788097,21100622,0.103737,21100622,0,
21155002,0,21155002,0.086288,21155002,0.107955,21155002,0,
21208667,0,21208667,0.0906982,21208667,0.112174,21208667,0,
21257139,0,21257139,0.0987515,21257139,0.110448,21257139,0,
21318710,0,21318710,0.104312,21318710,0.104695,21318710,0,
21370445,0,21370445,0.106613,21370445,0.098176,21370445,0,
21410853,0,21410853,0.109298,21410853,0.0880136,21410853,0,
21485620,0,21485620,0.1162,21485620,0.0786176,21485620,0,
21534894,0,21534894,0.12483,21534894,0.0711398,21534894,0,
21580412,0,21580412,0.130965,21580412,0.0638528,21580412,0,
21631489,0,21631489,0.0697966,21631489,0.087822,21631489,0,
21704323,0,21704323,0.0661535,21704323,0.0820694,21704323,0,
21756714,0,21756714,0.0711384,21756714,0.0719061,21756714,0,
21807669,0,21807669,0.071907,21807669,0.071331,21807669,0,
21854342,0,21854342,0.0682631,21854342,0.0682631,21854342,0,
21910256,0,21910256,0.0634699,21910256,0.0659618,21910256,0,
21958622,0,21958622,0.0573339,21958622,0.0600176,21958622,0,
22009198,0,22009198,0.0515814,22009198,0.0546484,22009198,0,
22053493,0,22053493,0.0289555,22053493,0.033556,22053493,0,
22139957,0,22139957,0.0161066,22139957,0.00728607,22139957,0,
22187103,0,22187103,-0.000383377,22187103,-0.00153446,22187103,0,
22229836,0,22229836,-0.0136147,22229836,-0.0113144,22229836,0,
22304366,0,22304366,-0.0180254,22304366,-0.0162983,22304366,0,
22354293,0,22354293,-0.0233927,22354293,-0.023777,22354293,0,
22409220,0,22409220,-0.0352821,22409220,-0.0316381,22409220,0,
22455662,0,22455662,-0.0527315,22455662,-0.0496635,22455662,0,
22529104,0,22529104,-0.0619354,22529104,-0.0586758,22529104,0,
22580562,0,22580562,-0.0765085,22580562,-0.0720978,22580562,0,
22631473,0,22631473,-0.0910807,22631473,-0.087822,22631473,0,
22691283,0,22691283,-0.100286,22691283,-0.0977926,22691283,0,
22733873,0,22733873,-0.111024,22733873,-0.109489,22733873,0,
22788464,0,22788464,-0.115816,22788464,-0.115242,22788464,0,
22838579,0,22838579,-0.119843,22838579,-0.120611,22838579,0,
22918926,0,22918926,-0.116392,22918926,-0.118885,22918926,0,
22948263,0,22948263,-0.111407,22948263,-0.116393,22948263,0,
22992039,0,22992039,-0.106997,22992039,-0.10527,22992039,0,
23044665,0,23044665,-0.0933824,23044665,-0.0952997,23044665,0,
23122800,0,23122800,-0.0853291,23122800,-0.0836029,23122800,0,
23164371,0,23164371,-0.0776587,23164371,-0.0805354,23164371,0,
23195639,0,23195639,-0.0696058,23195639,-0.0688386,23195639,0,
23243028,0,23243028,-0.0609765,23243028,-0.060401,23243028,0,
23333719,0,23333719,-0.0650034,23333719,-0.0621271,23333719,0,
23387180,0,23387180,-0.0661535,23387180,-0.0657701,23387180,0,
23430186,0,23430186,-0.072865,23430186,-0.0705643,23430186,0,
23488566,0,23488566,-0.0882053,23488566,-0.0774674,23488566,0,
23571341,0,23571341,-0.0956836,23571341,-0.078618,23571341,0,
23618883,0,23618883,-0.0958753,23618883,-0.0730567,23618883,0,
23666578,0,23666578,-0.0859041,23666578,-0.0720983,23666578,0,
23754098,0,23754098,-0.0801516,23754098,-0.0784259,23754098,0,
23800969,0,23800969,-0.0759335,23800969,-0.0799599,23800969,0,
23861684,0,23861684,-0.0552244,23861684,-0.0956838,23861684,0,
23943791,0,23943791,-0.0853288,23943791,-0.104887,23943791,0,
23993583,0,23993583,-0.0893557,23993583,-0.0814939,23993583,0,
24044087,0,24044087,-0.0933826,24044087,-0.0767,24044087,0,
24086526,0,24086526,-0.0947247,24086526,-0.0960665,24086526,0,
24162566,0,24162566,-0.100477,24162566,-0.100477,24162566,0,
24211321,0,24211321,-0.104888,24211321,-0.105846,24211321,0,
24263050,0,24263050,-0.108147,24263050,-0.109298,24263050,0,
24323274,0,24323274,-0.108722,24323274,-0.108914,24323274,0,
24374089,0,24374089,-0.105654,24374089,-0.107188,24374089,0,
24417358,0,24417358,-0.10412,24417358,-0.102011,24417358,0,
24462486,0,24462486,-0.094533,24462486,12.4724,24462486,0,
24546927,0,24546927,-0.087822,24546927,-0.0901222,24546927,0,
24597150,0,24597150,-0.0834112,24597150,-0.0801516,24597150,0,
24644644,0,24644644,-0.0791931,24644644,-0.0757408,24644644,0,
24692653,0,24692653,-0.0705643,24692653,-0.0692215,24692653,0,
24763719,0,24763719,-0.069797,24763719,-0.0678787,24763719,0,
24808033,0,24808033,-0.0717144,24808033,-0.0709476,24808033,0,
24861172,0,24861172,-0.0751657,24861172,-0.0730562,24861172,0,
24906401,0,24906401,-0.0790005,24906401,-0.0755501,24906401,0,
24987886,0,24987886,-0.0816851,24987886,-0.0786171,24987886,0,
25037432,0,25037432,-0.0839863,25037432,-0.0801516,25037432,0,
25081110,0,25081110,-0.0882053,25081110,-0.0776587,25081110,0,
25158542,0,25158542,-0.088397,25158542,-0.0763159,25158542,0,
25201353,0,25201353,-0.0820694,25201353,-0.0766993,25201353,0,
25257821,0,25257821,-0.0730572,25257821,-0.0797682,25257821,0,
25304951,0,25304951,-0.0517731,25304951,-0.0895472,25304951,0,
25374386,0,25374386,-0.0839863,25374386,-0.0866718,25374386,0,
25429171,0,25429171,-0.0859041,25429171,-0.074399,25429171,0,
25486890,0,25486890,-0.0891647,25486890,-0.0862875,25486890,0,
25557961,0,25557961,-0.0931911,25557961,-0.0935745,25557961,0,
25604886,0,25604886,-0.102202,25604886,-0.100669,25604886,0,
25671900,0,25671900,-0.111024,25671900,-0.110448,25671900,0,
25713947,0,25713947,-0.118502,25713947,-0.116968,25713947,0,
25788459,0,25788459,-0.119269,25788459,-0.120228,25788459,0,
25852962,0,25852962,-0.117352,25852962,-0.121953,25852962,0,
25884944,0,25884944,-0.114092,25884944,-0.112941,25884944,0,
25963475,0,25963475,-0.106038,25963475,-0.100861,25963475,0,
26023340,0,26023340,-0.102395,26023340,-0.0922318,26023340,0,
26065313,0,26065313,-0.0926151,26065313,-0.086288,26065313,0,
26115217,0,26115217,-0.08111,26115217,-0.075933,26115217,0,
26186340,0,26186340,-0.0724816,26186340,-0.0711398,26186340,0,
26236627,0,26236627,-0.069222,26236627,-0.0703726,26236627,0,
26279076,0,26279076,-0.0653877,26279076,-0.0657701,26279076,0,
26349890,0,26349890,-0.0617433,26349890,-0.0627022,26349890,0,
26402233,0,26402233,-0.0561829,26402233,-0.0619354,26402233,0,
26451259,0,26451259,-0.0533061,26451259,-0.0636611,26451259,0,
26513925,0,26513925,-0.0588675,26513925,-0.0632777,26513925,0,
26594393,0,26594393,-0.0627027,26594393,-0.0623188,26594393,0,
26651348,0,26651348,-0.0625105,26651348,-0.0634694,26651348,0,
