Timestamp,ins.pitch,Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],
2779736,17.9463,2779736,0.314811,2779736,9.10208e-05,2779736,0.314811,2779736,9.10208e-05,
2803448,17.9404,2803448,0.314811,2803448,9.10208e-05,2803448,0.314811,2803448,9.10208e-05,
2852759,17.9476,2852759,0.314811,2852759,9.10208e-05,2852759,0.314811,2852759,9.10208e-05,
2889242,17.9452,2889242,0.314811,2889242,9.10208e-05,2889242,0.314811,2889242,9.10208e-05,
2915466,17.9471,2915466,0.314811,2915466,9.10208e-05,2915466,0.314811,2915466,9.10208e-05,
2943999,17.9505,2943999,0.314811,2943999,9.10208e-05,2943999,0.314811,2943999,9.10208e-05,
2975501,17.9511,2975501,0.314811,2975501,9.10208e-05,2975501,0.314811,2975501,9.10208e-05,
3011370,17.9495,3011370,0.314811,3011370,9.10208e-05,3011370,0.314811,3011370,9.10208e-05,
3043213,17.9444,3043213,0.314811,3043213,9.10208e-05,3043213,0.314811,3043213,9.10208e-05,
3070327,17.9534,3070327,0.314811,3070327,9.10208e-05,3070327,0.314811,3070327,9.10208e-05,
3103531,17.9506,3103531,0.314811,3103531,9.10208e-05,3103531,0.314811,3103531,9.10208e-05,
3134527,17.9542,3134527,0.314811,3134527,9.10208e-05,3134527,0.314811,3134527,9.10208e-05,
3170419,17.9535,3170419,0.314811,3170419,9.10208e-05,3170419,0.314811,3170419,9.10208e-05,
3193657,17.9536,3193657,0.314811,3193657,9.10208e-05,3193657,0.314811,3193657,9.10208e-05,
3226847,17.953,3226847,0.314811,3226847,9.10208e-05,3226847,0.314811,3226847,9.10208e-05,
3267336,17.9527,3267336,0.314811,3267336,9.10208e-05,3267336,0.314811,3267336,9.10208e-05,
3324037,17.9545,3324037,0.314811,3324037,9.10208e-05,3324037,0.314811,3324037,9.10208e-05,
3351626,17.9582,3351626,0.314811,3351626,9.10208e-05,3351626,0.314811,3351626,9.10208e-05,
3384256,17.9597,3384256,0.314811,3384256,9.10208e-05,3384256,0.314811,3384256,9.10208e-05,
3406699,17.9578,3406699,0.314811,3406699,9.10208e-05,3406699,0.314811,3406699,9.10208e-05,
3460484,17.9587,3460484,0.314811,3460484,9.10208e-05,3460484,0.314811,3460484,9.10208e-05,
3490811,17.9592,3490811,0.314811,3490811,9.10208e-05,3490811,0.314811,3490811,9.10208e-05,
3525760,17.957,3525760,0.314811,3525760,9.10208e-05,3525760,0.314811,3525760,9.10208e-05,
3562425,17.9533,3562425,0.314811,3562425,9.10208e-05,3562425,0.314811,3562425,9.10208e-05,
3615880,17.9501,3615880,0.314811,3615880,9.10208e-05,3615880,0.314811,3615880,9.10208e-05,
3652355,17.9475,3652355,0.314811,3652355,9.10208e-05,3652355,0.314811,3652355,9.10208e-05,
3683557,17.9499,3683557,0.314811,3683557,9.10208e-05,3683557,0.314811,3683557,9.10208e-05,
3721114,17.9498,3721114,0.314811,3721114,9.10208e-05,3721114,0.314811,3721114,9.10208e-05,
3760355,17.9473,3760355,0.314811,3760355,9.10208e-05,3760355,0.314811,3760355,9.10208e-05,
3790285,17.9425,3790285,0.314811,3790285,9.10208e-05,3790285,0.314811,3790285,9.10208e-05,
3823807,17.9424,3823807,0.314811,3823807,9.10208e-05,3823807,0.314811,3823807,9.10208e-05,
3854756,17.9367,3854756,0.314811,3854756,9.10208e-05,3854756,0.314811,3854756,9.10208e-05,
3879203,17.9359,3879203,0.314811,3879203,9.10208e-05,3879203,0.314811,3879203,9.10208e-05,
3910881,17.9385,3910881,0.314811,3910881,9.10208e-05,3910881,0.314811,3910881,9.10208e-05,
3940363,17.9407,3940363,0.314811,3940363,9.10208e-05,3940363,0.314811,3940363,9.10208e-05,
3981390,17.9412,3981390,0.314811,3981390,9.10208e-05,3981390,0.314811,3981390,9.10208e-05,
4024604,17.9414,4024604,0.314811,4024604,9.10208e-05,4024604,0.314811,4024604,9.10208e-05,
4053612,17.9385,4053612,0.314811,4053612,9.10208e-05,4053612,0.314811,4053612,9.10208e-05,
4087637,17.9367,4087637,0.314811,4087637,9.10208e-05,4087637,0.314811,4087637,9.10208e-05,
4106037,17.9343,4106037,0.314811,4106037,9.10208e-05,4106037,0.314811,4106037,9.10208e-05,
4154575,17.9381,4154575,0.314811,4154575,9.10208e-05,4154575,0.314811,4154575,9.10208e-05,
4194529,17.9387,4194529,0.314811,4194529,9.10208e-05,4194529,0.314811,4194529,9.10208e-05,
4227573,17.8656,4227573,0.313056,4227573,5.3836e-05,4227573,0.313062,4227573,-0.00015068,
4259419,16.6671,4259419,0.294577,4259419,-0.0129794,4259419,0.298911,4259419,-0.016326,
4284019,7.85823,4284019,0.156613,4284019,-0.0398454,4284019,0.172779,4284019,-0.0404961,
4360015,3.3088,4360015,0.0663582,4360015,-0.0385811,4360015,0.0773616,4360015,-0.038358,
4397429,0.187228,4397429,0.00974107,4397429,-0.0297497,4397429,0.0182329,4397429,-0.0307909,
4424333,-2.06938,4424333,-0.0333626,4424333,-0.0180365,4424333,-0.0283007,4424333,-0.0200817,
4456739,-3.07206,4456739,-0.0529529,4456739,-0.00701127,4456739,-0.0504227,4456739,-0.00896346,
4487868,-2.85,4487868,-0.0519355,4487868,0.00457178,4487868,-0.0535296,4487868,0.00226633,
4525870,-2.08244,4525870,-0.0382656,4525870,0.0102982,4525870,-0.0424331,4525870,0.00938721,
4550620,-0.79663,4550620,-0.0168333,4550620,0.012864,4550620,-0.0212329,4550620,0.0123248,
4582185,2.04277,4582185,0.0227678,4582185,0.0100379,4582185,0.0155478,4582185,0.0106329,
4670244,2.74124,4670244,0.0481422,4670244,1.66513e-05,4670244,0.0483798,4670244,7.24284e-05,
4792745,2.54051,4792745,0.0447113,4792745,-0.00135918,4792745,0.0452261,4792745,-0.00122904,
4847061,2.19574,4847061,0.039316,4847061,-0.00336716,4847061,0.0405238,4847061,-0.00292094,
4880549,1.84224,4880549,0.0331982,4880549,-0.00301391,4880549,0.0353019,4880549,-0.00292094,
4921569,1.5674,4921569,0.0274865,4921569,-0.000987337,4921569,0.0287076,4921569,-0.00152652,
4981325,1.55394,4981325,0.0269577,4981325,-9.49029e-05,4981325,0.0267815,4981325,-7.63106e-05,
5028941,1.71779,5028941,0.0297146,5028941,0.00152263,5028941,0.0286881,5028941,0.000964862,
5074358,1.81354,5074358,0.031891,5074358,0.0008719,5074358,0.0316431,5074358,0.000704569,
5141408,1.6954,5141408,0.0300865,5141408,-0.000392381,5141408,0.0304086,5141408,-0.000652674,
5191139,1.91008,5191139,0.0318963,5191139,0.000964862,5191139,0.0300038,5191139,0.000202575,
5419713,1.71221,5419713,0.0296303,5419713,0.000369906,5419713,0.0293629,5419713,0.00116938,
5462711,1.79738,5462711,0.0313868,5462711,0.000518645,5462711,0.0312955,5462711,0.00109501,
5485178,1.81012,5485178,0.0318077,5485178,-0.00100593,5485178,0.0321442,5485178,-0.000318011,
5516773,1.72996,5516773,0.030344,5516773,-0.0015637,5516773,0.0306159,5516773,-0.00121045,
5553000,1.65782,5553000,0.029349,5553000,-0.00148933,5553000,0.0300785,5553000,-0.00054112,
5581646,1.59026,5581646,0.0281578,5581646,-0.00223303,5581646,0.0286832,5581646,-0.000782821,
5607327,1.59701,5607327,0.0276275,5607327,-0.000485343,5607327,0.0277603,5607327,-0.000875783,
5644207,1.58438,5644207,0.0277393,5644207,-0.000485343,5644207,0.0279429,5644207,-0.000950152,
5673735,1.50707,5673735,0.0265808,5673735,-0.000875783,5673735,0.0267658,5673735,-0.00109889,
5702441,1.42545,5702441,0.0249624,5702441,-0.000782821,5702441,0.0252027,5702441,-0.00115467,
5736057,1.38385,5736057,0.0241225,5736057,-0.000410973,5736057,0.0241254,5736057,-0.00117326,
5769262,1.32229,5769262,0.0232788,5769262,-0.000764228,5769262,0.0235127,5769262,-0.000448158,
5795285,1.15531,5795285,0.0204701,5795285,-0.000838598,5795285,0.0210108,5795285,-0.00104311,
5837741,1.1233,5837741,0.0196191,5837741,0.00016539,5837741,0.0195464,5837741,0.000258352,
5876936,1.1987,5876936,0.0210843,5876936,-0.000429566,5876936,0.0212382,5876936,0.000425683,
5940818,1.22003,5940818,0.0212692,5940818,0.000444276,5940818,0.0211399,5940818,-0.000262234,
5977107,0.93898,5977107,0.0222641,5977107,0.000500053,5977107,0.0217132,5977107,0.000890493,
6413157,0.889751,6413157,0.0157602,6413157,-0.000820005,6413157,0.0160305,6413157,-0.000727044,
6471088,0.805112,6471088,0.0141391,6471088,3.52437e-05,6471088,0.0143025,6471088,-0.00054112,
6519667,0.705075,6519667,0.0122537,6519667,0.000778939,6519667,0.0136323,6519667,-0.000113495,
6722875,0.665572,6722875,0.0116406,6722875,-0.000708451,6722875,0.0118897,6722875,-0.000708451,
6757910,0.644207,6757910,0.0111082,6757910,0.000109613,6757910,0.011069,6757910,0.000146798,
7022307,0.708078,7022307,0.0122777,7022307,0.000295537,7022307,0.0121548,7022307,0.000685977,
7054150,0.689062,7054150,0.0120201,7054150,-0.000503935,7054150,0.0122759,7054150,-0.00015068,
7081754,0.342739,7081754,0.00605614,7081754,-0.000559712,7081754,0.00624064,7081754,1.66513e-05,
7236484,0.314009,7236484,0.00538515,7236484,-0.000206457,7236484,0.00539018,7236484,-2.05335e-05,
7270844,0.274665,7270844,0.00495994,7270844,-0.000169272,7270844,0.00507358,7270844,-0.00015068,
7300831,0.23292,7300831,0.00418508,7300831,-0.000429566,7300831,0.00435212,7300831,-0.000132088,
7330855,0.408182,7330855,0.00671028,7330855,0.00308439,7330855,0.00557808,7330855,0.00196885,
7362881,0.95523,7362881,0.0157668,7362881,0.00639383,7362881,0.013069,7362881,0.00544562,
7393605,1.92134,7393605,0.0314415,7393605,0.0110233,7393605,0.0282054,7393605,0.0094058,
7426403,3.34393,7426403,0.0555366,7426403,0.0154297,7426403,0.051114,7426403,0.0144815,
7457461,5.25908,7457461,0.0884261,7457461,0.0205054,7457461,0.0814492,7457461,0.0188321,
